$13$51$13, 28.91, 'w',
$13$51$13, 28.94, 's',
$13$51$13, 29.15, 's',
$13$51$13, 29.17, 'w',
$13$51$13, 29.45, 'd',
$13$51$13, 29.46, 'a',
$13$51$14, 29.60, 'd',
$13$51$14, 29.68, 'a',
$13$51$14, 29.98, 'w',
$13$51$14, 29.99, 's',
$13$51$14, 30.11, 'w',
$13$51$14, 30.17, 's',
$13$51$14, 30.50, 'a',
$13$51$14, 30.51, 'd',
$13$51$15, 30.64, 'd',
$13$51$15, 30.69, 'a',
$13$51$15, 30.98, 'w',
$13$51$15, 31.01, 's',
$13$51$15, 31.13, 'w',
$13$51$15, 31.20, 's',
$13$51$15, 31.55, 'd',
$13$51$16, 31.59, 'a',
$13$51$16, 31.69, 'd',
$13$51$16, 31.77, 'a',
$13$51$16, 32.06, 'w',
$13$51$16, 32.08, 's',
$13$51$16, 32.19, 'w',
$13$51$16, 32.26, 's',
$13$51$17, 32.58, 'd',
$13$51$17, 32.62, 'a',
$13$51$17, 32.72, 'd',
$13$51$17, 32.81, 'a',
$13$51$17, 33.10, 'w',
$13$51$17, 33.13, 's',
$13$51$17, 33.24, 'w',
$13$51$17, 33.30, 's',
$13$51$18, 33.62, 'd',
$13$51$18, 33.66, 'a',
$13$51$18, 33.76, 'd',
$13$51$18, 33.83, 'a',
$13$51$18, 34.11, 'w',
$13$51$18, 34.12, 's',
$13$51$18, 34.25, 'w',
$13$51$18, 34.29, 's',
$13$51$19, 34.63, 'd',
$13$51$19, 34.65, 'a',
$13$51$19, 34.74, 'd',
$13$51$19, 34.83, 'a',
$13$51$19, 35.11, 's',
$13$51$19, 35.12, 'w',
$13$51$19, 35.24, 'w',
$13$51$19, 35.31, 's',
$13$51$20, 35.60, 'a',
$13$51$20, 35.62, 'd',
$13$51$20, 35.73, 'd',
$13$51$20, 35.80, 'a',
$13$51$20, 36.04, 'w',
$13$51$20, 36.06, 's',
$13$51$20, 36.18, 'w',
$13$51$20, 36.24, 's',
$13$51$21, 36.87, Key.esc,
